PROBA_SKLEARN,PROBA_PORTABLE,DIF_ABS
0.05127686556740283,0.05127686556740283,0.0
0.08967308345568543,0.08967308345568543,0.0
0.10729674434290648,0.10729674434290656,8.326672684688674e-17
0.08360722946916968,0.08360722946916964,4.163336342344337e-17
0.08733575769391504,0.08733575769391506,2.7755575615628914e-17
0.10045104548323895,0.10045104548323901,5.551115123125783e-17
0.13800087555632687,0.13800087555632692,5.551115123125783e-17
0.16322938259070555,0.16322938259070546,8.326672684688674e-17
0.3559397149095072,0.35593971490950715,5.551115123125783e-17
0.06666550052751104,0.06666550052751108,4.163336342344337e-17
0.10517739514407252,0.10517739514407244,8.326672684688674e-17
0.1183613574786599,0.11836135747865997,6.938893903907228e-17
0.051466135334524765,0.05146613533452481,4.163336342344337e-17
0.04157825199746843,0.041578251997468466,3.469446951953614e-17
0.09804377619560944,0.09804377619560954,9.71445146547012e-17
0.0949922619519562,0.09499226195195626,5.551115123125783e-17
0.26196937421608923,0.2619693742160892,5.551115123125783e-17
0.0599792442380244,0.059979244238024434,3.469446951953614e-17
0.1717738204700563,0.17177382047005638,8.326672684688674e-17
0.2084875830057392,0.20848758300573925,5.551115123125783e-17
0.10089221448051287,0.10089221448051286,1.3877787807814457e-17
0.14074809427668544,0.1407480942766855,5.551115123125783e-17
0.14873808094979335,0.1487380809497933,5.551115123125783e-17
0.09109459714408885,0.09109459714408888,2.7755575615628914e-17
0.06738847989360319,0.06738847989360319,0.0
0.0578241456943699,0.0578241456943699,0.0
0.1277673809611951,0.12776738096119514,2.7755575615628914e-17
0.0975014088970834,0.09750140889708343,2.7755575615628914e-17
0.03200283454331618,0.03200283454331618,0.0
0.15867841054882187,0.15867841054882187,0.0
0.14252136430906048,0.14252136430906046,2.7755575615628914e-17
0.1033753510329496,0.10337535103294965,4.163336342344337e-17
0.1216094651859267,0.12160946518592679,8.326672684688674e-17
0.09524157221747465,0.09524157221747472,6.938893903907228e-17
0.1317245860264053,0.13172458602640533,2.7755575615628914e-17
0.05847629751691933,0.058476297516919386,5.551115123125783e-17
0.14882516686038938,0.14882516686038927,1.1102230246251565e-16
0.08640082810699756,0.08640082810699763,6.938893903907228e-17
0.13933615700018911,0.13933615700018906,5.551115123125783e-17
0.22519145424806788,0.22519145424806797,8.326672684688674e-17
0.04322904216377492,0.04322904216377494,2.0816681711721685e-17
0.09460556817612244,0.09460556817612248,4.163336342344337e-17
0.12761654451981155,0.12761654451981153,2.7755575615628914e-17
0.1951505320442286,0.19515053204422866,5.551115123125783e-17
0.08510297907644386,0.08510297907644386,0.0
0.18503162165974174,0.1850316216597417,2.7755575615628914e-17
