COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COD_END;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INICIO_VIG;FIM_VIG;TIPO_FRANQ;VAL_FRANQ;AREA_SEG;IMP_SEG;PREMIO;PREMIO_SUB;ORIGEM_SUB;CORRETAGEM;PERC_CARR;PERC_DESC
296169632;8061636;10919351;2021.0;0.0;S;60.0;60.0;60.0;99999999.0;44578.0;PA;20210430.0;20220430.0;4.0;0.0;0.0;10000.0;64.08;0.0;00;22.43;17.91;0.0
296169632;8061636;10919351;2021.0;0.0;S;60.0;60.0;60.0;99999999.0;44578.0;PA;20210430.0;20220430.0;4.0;0.0;0.0;200700.0;1144.67;0.0;00;400.63;17.91;0.0
296678543;8639680;14477641;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;7766.0;RS;20210612.0;20220612.0;9.0;0.0;0.0;15512.02;75.23;0.0;00;18.81;25.0;0.0
296678543;8639680;14477641;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;7766.0;RS;20210612.0;20220612.0;4.0;0.0;0.0;15512.02;75.23;0.0;00;18.81;25.0;0.0
296678543;8639680;14477641;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;7766.0;RS;20210612.0;20220612.0;9.0;0.0;0.0;600.0;75.23;0.0;00;18.81;25.0;0.0
296678543;8639680;14477641;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;7766.0;RS;20210612.0;20220612.0;4.0;0.0;0.0;600.0;75.23;0.0;00;18.81;25.0;0.0
296678543;8639680;14457854;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;33015.0;MG;20210531.0;20220531.0;9.0;0.0;0.0;600.0;219.74;0.0;00;54.93;25.0;0.0
296678543;8639680;14457854;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;33015.0;MG;20210531.0;20220531.0;4.0;0.0;0.0;600.0;219.74;0.0;00;54.93;25.0;0.0
296678543;8639680;14457854;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;33015.0;MG;20210531.0;20220531.0;9.0;0.0;0.0;93870.0;219.75;0.0;00;54.94;25.0;0.0
296678543;8639680;14457854;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;33015.0;MG;20210531.0;20220531.0;4.0;0.0;0.0;93870.0;219.75;0.0;00;54.94;25.0;0.0
296679983;8641366;20176479;2021.0;0.0;S;50.0;60.0;100.0;99999999.0;43885.0;GO;20190905.0;20200904.0;9.0;0.0;0.0;28412.0;280.14;0.0;00;56.02;0.2;0.0
296679983;8641366;20176526;2021.0;0.0;S;50.0;60.0;100.0;99999999.0;38089.0;MG;20190912.0;20200911.0;9.0;0.0;0.0;4000.0;39.44;0.0;00;7.88;0.2;0.0
296679983;8641366;20176572;2021.0;0.0;S;50.0;60.0;100.0;99999999.0;57936.0;RS;20190905.0;20200904.0;9.0;0.0;0.0;45000.0;266.85;0.0;00;53.37;0.2;0.0
296679983;8641366;20176598;2021.0;0.0;S;50.0;10.0;100.0;99999999.0;19266.0;RS;20190912.0;20200820.0;9.0;0.0;0.0;21450.0;73.57;0.0;00;14.71;0.2;0.0
296678543;8639680;14457832;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;45443.0;RS;20210530.0;20220530.0;9.0;0.0;0.0;27375.6;132.77;0.0;00;33.19;25.0;0.0
296678543;8639680;14457832;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;45443.0;RS;20210530.0;20220530.0;4.0;0.0;0.0;27375.6;132.77;0.0;00;33.19;25.0;0.0
296678543;8639680;14457832;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;45443.0;RS;20210530.0;20220530.0;9.0;0.0;0.0;600.0;132.77;0.0;00;33.19;25.0;0.0
296678543;8639680;14457832;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;45443.0;RS;20210530.0;20220530.0;4.0;0.0;0.0;600.0;132.77;0.0;00;33.19;25.0;0.0
289707920;509923;1575983;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201001.0;20201031.0;9.0;0.0;0.0;68258.0;24.85;0.0;00;7.45;0.0;0.0
289707920;509928;1608209;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;22070.0;11.48;0.0;00;3.44;0.0;0.0
289707920;509936;1709344;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201201.0;20201231.0;9.0;0.0;0.0;52115.0;28.0;0.0;00;8.4;0.0;0.0
296678543;8639680;13877962;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;12263.0;MG;20200502.0;20210502.0;4.0;0.0;0.0;100000.0;391.0;0.0;00;97.75;25.0;0.0
296678543;8639680;13877962;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;12263.0;MG;20200502.0;20210502.0;9.0;0.0;0.0;600.0;391.0;0.0;00;97.75;25.0;0.0
296678543;8639680;13877962;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;12263.0;MG;20200502.0;20210502.0;4.0;0.0;0.0;600.0;391.0;0.0;00;97.75;25.0;0.0
296678543;8639680;13877969;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;55770.0;RS;20200502.0;20210502.0;9.0;0.0;0.0;80478.38;314.67;0.0;00;78.67;25.0;0.0
296678543;8639680;13877969;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;55770.0;RS;20200502.0;20210502.0;4.0;0.0;0.0;80478.38;314.67;0.0;00;78.67;25.0;0.0
296678543;8639680;13877969;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;55770.0;RS;20200502.0;20210502.0;9.0;0.0;0.0;600.0;314.67;0.0;00;78.67;25.0;0.0
296678543;8639680;13877969;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;55770.0;RS;20200502.0;20210502.0;4.0;0.0;0.0;600.0;314.67;0.0;00;78.67;25.0;0.0
289707920;509923;1575919;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201001.0;20201031.0;9.0;0.0;0.0;120910.0;64.97;0.0;00;19.49;0.0;0.0
289707920;509928;1633883;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;14226.0;7.4;0.0;00;2.22;0.0;0.0
289707920;509928;1633891;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;49786.0;25.89;0.0;00;7.77;0.0;0.0
289707920;509928;1608187;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;23929.0;12.44;0.0;00;3.73;0.0;0.0
289707920;509928;1633769;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;3164.0;1.64;0.0;00;0.49;0.0;0.0
