COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INDENIZ;DESP_SIN;EV_GER;VAL_FRANQ;D_AVISO;D_LIQ;D_OCORR_IN;D_OCORR_FI
292752254;4456068;7185088;2021;N;10;99;50;11270805.0;52670.0;PR;1000.0;1000.0;99;0.0;20210518;00000000;20210401;20210401
292752314;4456135;7185148;2021;N;10;99;50;11270805.0;48213.0;PR;16048.0;1000.0;99;0.0;20210506;00000000;20210313;20210313
292752327;4456149;7185161;2021;N;10;99;50;11270805.0;28477.0;PR;11234.86;1000.0;99;0.0;20210522;00000000;20210331;20210331
292752365;4456192;7185199;2021;N;10;99;50;11270805.0;41131.0;PR;13712.08;1000.0;9;0.0;20210630;00000000;20210629;20210629
292752366;4456193;7185200;2021;N;10;99;50;11270805.0;43593.0;PR;12889.98;1000.0;99;0.0;20210526;00000000;20210306;20210306
292752368;4456195;7185202;2021;N;10;99;50;11270805.0;30472.0;PR;39386.5;1000.0;99;0.0;20210531;00000000;20210327;20210327
292752371;4456198;7185205;2021;N;10;99;50;11270805.0;17000.0;PR;40238.04;563.25;99;0.0;20210430;00000000;20210320;20210320
292752389;4456218;7185223;2021;N;10;99;50;11270805.0;7247.0;PR;21427.62;1000.0;9;0.0;20210709;00000000;20210630;20210630
292752395;4456224;7185229;2021;N;10;99;50;11270805.0;41265.0;PR;1000.0;1000.0;99;0.0;20210518;00000000;20210401;20210401
292752409;22483879;7185243;2021;N;10;99;50;11270805.0;18975.0;PR;22185.25;1000.0;9;0.0;20210701;00000000;20210629;20210629
292752429;4456259;7185263;2021;N;10;99;50;11270805.0;41131.0;PR;7904.13;415.51;99;0.0;20210608;00000000;20210410;20210410
292752455;4456287;7185289;2021;N;10;99;50;11270805.0;15026.0;MS;128997.55;1000.0;99;0.0;20210428;00000000;20210318;20210318
292752459;4456291;7185293;2021;N;10;99;50;11270805.0;43586.0;PR;438.75;438.75;99;0.0;20210513;00000000;20210330;20210330
292752477;4456310;7185311;2021;N;10;99;50;11270805.0;22521.0;PR;37341.4;1000.0;99;0.0;20210524;00000000;20210410;20210410
292752489;4456322;7185323;2021;N;10;99;50;11270805.0;17000.0;PR;17489.27;205.35;99;0.0;20210504;20210922;20210320;20210320
292752530;4456370;7185364;2021;N;10;99;50;11270805.0;22521.0;PR;84874.82;364.17;99;0.0;20210518;00000000;20210410;20210410
292752539;4456379;7185373;2021;N;10;99;50;11270805.0;18009.0;PR;94280.95;308.9;99;0.0;20210521;00000000;20210325;20210325
292752572;4456418;7185406;2021;N;10;99;50;11270805.0;38601.0;PR;17080.6;1000.0;99;0.0;20210519;00000000;20210401;20210401
292752575;4456421;7185409;2021;N;10;99;50;11270805.0;23513.0;PR;23695.09;1000.0;99;0.0;20210603;00000000;20210522;20210522
292752583;4456429;7185417;2021;N;10;99;50;11270805.0;32834.0;MS;99186.4;2481.4;99;0.0;20210429;00000000;20210316;20210316
292752590;4456436;7185424;2021;N;10;99;50;11270805.0;41265.0;PR;11053.79;797.9;99;0.0;20210520;00000000;20210401;20210401
292752594;4456440;7185428;2021;N;10;99;50;11270805.0;30472.0;PR;5380.05;1000.0;99;0.0;20210602;00000000;20210323;20210323
292752606;4456453;7185440;2021;N;10;99;50;11270805.0;22277.0;PR;36177.84;362.49;99;0.0;20210513;00000000;20210401;20210401
292752610;4456458;7185444;2021;N;10;99;50;11270805.0;43586.0;PR;11458.87;1000.0;9;0.0;20210705;00000000;20210629;20210629
292752614;4456462;7185448;2021;N;10;99;50;11270805.0;43586.0;PR;11343.22;1000.0;9;0.0;20210705;00000000;20210629;20210629
292752618;4456466;7185452;2021;N;10;99;50;11270805.0;43586.0;PR;18035.95;1000.0;9;0.0;20210705;00000000;20210629;20210629
292752643;4456491;7185477;2021;N;10;99;50;11270805.0;35075.0;PR;34774.37;0.0;99;0.0;20210505;20210921;20210323;20210323
292752645;4456493;7185479;2021;N;10;99;50;11270805.0;17000.0;PR;23098.9;1000.0;99;0.0;20210507;00000000;20210320;20210320
292752667;4456515;7185501;2021;N;10;99;50;11270805.0;35075.0;PR;25676.99;0.0;99;0.0;20210505;20210921;20210323;20210323
292752685;4456533;7185519;2021;N;10;99;50;11270805.0;34942.0;MS;61060.2;257.95;99;0.0;20210426;00000000;20210323;20210323
292752686;4456534;7185520;2021;N;10;99;50;11270805.0;17000.0;PR;24907.2;539.77;99;0.0;20210430;00000000;20210320;20210320
292752691;4456539;7185525;2021;N;10;99;50;11270805.0;2084.0;PR;0.0;0.0;99;0.0;20210505;00000000;20210323;20210323
292752717;4456566;7185551;2021;N;10;99;50;11270805.0;30472.0;PR;16217.02;1000.0;9;0.0;20210630;00000000;20210629;20210629
292752746;22483890;7185580;2021;N;10;99;50;11270805.0;7663.0;PR;8504.62;1000.0;99;0.0;20210616;00000000;20210401;20210401
292752747;4456598;7185581;2021;N;10;99;50;11270805.0;17000.0;PR;98500.68;376.08;99;0.0;20210503;00000000;20210310;20210310
292752777;4456630;7185611;2021;N;10;99;50;11270805.0;7663.0;PR;26688.69;1000.0;99;0.0;20210609;00000000;20210401;20210401
292752791;4456644;7185625;2021;N;10;99;50;11270805.0;48213.0;PR;0.0;0.0;9;0.0;20210707;00000000;20210629;20210629
292752807;4456660;7185641;2021;N;10;99;50;11270805.0;41320.0;PR;12700.0;1000.0;9;0.0;20210526;00000000;20210525;20210525
292752807;4456660;7185641;2021;N;10;99;50;11270805.0;41320.0;PR;12700.0;1000.0;99;0.0;20210513;00000000;20210302;20210302
292752811;4456664;7185645;2021;N;10;99;50;11270805.0;48608.0;PR;5965.3;1000.0;99;0.0;20210518;00000000;20210321;20210321
292752823;4456676;7185657;2021;N;10;99;50;11270805.0;45728.0;PR;15736.56;1000.0;99;0.0;20210603;00000000;20210323;20210323
292752841;4456696;7185675;2021;N;10;99;50;11270805.0;33383.0;PR;34024.45;1000.0;9;0.0;20210709;00000000;20210629;20210629
292752863;4456718;7185697;2021;N;10;99;50;11270805.0;47702.0;PR;5421.09;1000.0;99;0.0;20210520;00000000;20210318;20210318
292752864;4456720;7185698;2021;N;10;99;50;11270805.0;33383.0;PR;40201.0;1000.0;99;0.0;20210630;00000000;20210411;20210411
292752885;4456741;7185719;2021;N;10;99;50;11270805.0;22277.0;PR;42190.74;0.0;99;0.0;20210518;20210914;20210322;20210322
292752929;4456789;7185763;2021;N;10;99;50;11270805.0;22277.0;PR;52758.45;467.25;99;0.0;20210512;20210928;20210306;20210306
292752971;4456834;7185805;2021;N;10;99;50;11270805.0;16214.0;PR;8560.75;1000.0;99;0.0;20210513;00000000;20210324;20210324
292752982;4456846;7185816;2021;N;10;99;50;11270805.0;30472.0;PR;9348.21;1000.0;99;0.0;20210618;00000000;20210401;20210401
292753057;4456928;7185891;2021;N;10;99;50;11270805.0;22521.0;PR;13313.43;1000.0;99;0.0;20210629;00000000;20210515;20210515
292753095;4456967;7185929;2021;N;10;99;50;11270805.0;22277.0;PR;6628.14;1000.0;99;0.0;20210702;00000000;20210401;20210401
292753096;4456968;7185930;2021;N;10;99;50;11270805.0;39569.0;PR;16523.2;1000.0;99;0.0;20210518;00000000;20210328;20210328
292753115;4456987;7185949;2021;N;10;99;50;11270805.0;30472.0;PR;24093.26;251.06;99;0.0;20210525;20210913;20210318;20210318
292753133;4457009;7185967;2021;N;10;99;50;11270805.0;30472.0;PR;19444.92;277.92;99;0.0;20210528;00000000;20210323;20210323
292753151;4457031;7185985;2021;N;10;99;50;11270805.0;30472.0;PR;161230.45;1000.0;9;0.0;20210708;00000000;20210629;20210629
292753152;4457032;7185986;2021;N;10;99;50;11270805.0;30472.0;PR;9982.44;1000.0;99;0.0;20210603;00000000;20210323;20210323
292753180;4457061;7186014;2021;N;10;99;50;11270805.0;2620.0;PR;8098.61;1000.0;99;0.0;20210519;00000000;20210324;20210324
292753197;4457078;7186031;2021;N;10;99;50;11270805.0;2620.0;PR;340217.12;808.07;99;0.0;20210504;00000000;20210324;20210324
292753217;4457104;7186051;2021;N;10;99;50;11270805.0;33383.0;PR;30734.2;1000.0;9;0.0;20210706;00000000;20210628;20210628
292753233;4457120;7186067;2021;N;10;99;50;11270805.0;40204.0;PR;13219.84;1000.0;9;0.0;20210707;00000000;20210630;20210630
292753234;4457121;7186068;2021;N;10;99;50;11270805.0;43593.0;PR;21261.01;1000.0;9;0.0;20210629;00000000;20210629;20210629
292753237;4457124;7186071;2021;N;10;99;50;11270805.0;22521.0;PR;78005.01;1000.0;99;0.0;20210531;00000000;20210415;20210415
292753242;4457129;7186076;2021;N;10;99;50;11270805.0;43593.0;PR;7194.9;1000.0;9;0.0;20210629;00000000;20210629;20210629
292753279;4457171;7186113;2021;N;10;99;50;11270805.0;32195.0;PR;200998.48;1000.0;99;0.0;20210519;00000000;20210323;20210323
292753283;4457177;7186117;2021;N;10;99;50;11270805.0;49229.0;MS;115052.65;325.0;99;0.0;20210428;00000000;20210315;20210315
292753345;4457243;7186179;2021;N;10;99;50;11270805.0;49229.0;MS;110192.44;1000.0;99;0.0;20210428;00000000;20210315;20210315
292753352;4457250;7186186;2021;N;10;99;50;11270805.0;13073.0;PR;6657.04;1000.0;9;0.0;20210705;00000000;20210629;20210629
